teamName,avg,obp,slg,ops
Toronto Blue Jays,0.1167,0.08929999999999999,0.07809999999999999,0.0938
,,,,
,,,,
Athletics,0.1175,0.08979999999999999,0.07940000000000001,0.0933
,,,,
,,,,
Chicago White Sox,0.1149,0.08979999999999999,0.07890000000000001,0.09340000000000001
,,,,
,,,,
Los Angeles Angels,0.1196,0.08990000000000001,0.0792,0.0937
,,,,
,,,,
Arizona Diamondbacks,0.1174,0.0901,0.0792,0.0942
,,,,
,,,,
Baltimore Orioles,0.1163,0.0896,0.07909999999999999,0.0937
,,,,
,,,,
Colorado Rockies,0.1154,0.0896,0.0785,0.0937
,,,,
,,,,
St. Louis Cardinals,0.1179,0.09,0.0792,0.09409999999999999
,,,,
,,,,
Cleveland Guardians,0.118,0.09,0.07970000000000001,0.0937
,,,,
,,,,
Chicago Cubs,0.1174,0.0896,0.07940000000000001,0.09340000000000001
,,,,
,,,,
Seattle Mariners,0.12040000000000001,0.0895,0.07859999999999999,0.09309999999999999
,,,,
,,,,
Miami Marlins,0.1179,0.09,0.0798,0.0937
,,,,
,,,,
Los Angeles Dodgers,0.1179,0.0901,0.07970000000000001,0.0938
,,,,
,,,,
Texas Rangers,0.1144,0.0892,0.07840000000000001,0.09309999999999999
,,,,
,,,,
San Diego Padres,0.1184,0.0891,0.07809999999999999,0.0932
,,,,
,,,,
Atlanta Braves,0.1176,0.08929999999999999,0.0785,0.09340000000000001
,,,,
,,,,
Cincinnati Reds,0.1162,0.0889,0.0783,0.093
,,,,
,,,,
Tampa Bay Rays,0.1145,0.0901,0.07959999999999999,0.09359999999999999
,,,,
,,,,
Minnesota Twins,0.1166,0.0897,0.0788,0.09390000000000001
,,,,
,,,,
Boston Red Sox,0.119,0.08929999999999999,0.0782,0.0932
,,,,
,,,,
Washington Nationals,0.1158,0.08979999999999999,0.079,0.0927
,,,,
,,,,
Detroit Tigers,0.1152,0.0889,0.078,0.09309999999999999
,,,,
,,,,
New York Yankees,0.1155,0.0889,0.07790000000000001,0.0928
,,,,
,,,,
Kansas City Royals,0.1179,0.0888,0.0777,0.09309999999999999
,,,,
,,,,
Pittsburgh Pirates,0.1155,0.0891,0.0783,0.09309999999999999
,,,,
,,,,
Milwaukee Brewers,0.12290000000000001,0.0892,0.07859999999999999,0.093
,,,,
,,,,
Houston Astros,0.1144,0.0892,0.07859999999999999,0.0932
,,,,
,,,,
Philadelphia Phillies,0.1164,0.089,0.07809999999999999,0.09259999999999999
,,,,
,,,,
New York Mets,0.1147,0.08979999999999999,0.0792,0.094
,,,,
,,,,
San Francisco Giants,0.1168,0.0889,0.078,0.09340000000000001
,,,,
,,,,
